"","GeoUID","Region Name","PR_UID","province_name","vector","label","cd_value","province_value","diff_from_province","ratio_to_province"
"103","3538","Lambton (CTY)","35","Ontario","v_CA16_4288","Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio",0,4425,-4425,0
"104","3538","Lambton (CTY)","35","Ontario","v_CA16_4311","Median value of dwellings ($)",0,1495,-1495,0
"105","3538","Lambton (CTY)","35","Ontario","v_CA16_4305","Total - Owner households in non-farm, non-reserve private dwellings",0,1.44997691190609e-05,-1.44997691190609e-05,0
"106","3538","Lambton (CTY)","35","Ontario","v_CA16_4313","Total - Tenant households in non-farm, non-reserve private dwellings",0,5.50247648620775e-05,-5.50247648620775e-05,0
"107","3538","Lambton (CTY)","35","Ontario","v_CA16_4263","Total - Occupied private dwellings by period of construction",0.00185565382185723,0.00173179293734836,0.000123860884508877,1.07152176327646
"108","3538","Lambton (CTY)","35","Ontario","v_CA16_560","Median total income in 2020 among recipients ($)",2360,490720,-488360,0.00480925986305836
"109","3538","Lambton (CTY)","35","Ontario","v_CA16_566","Median after-tax income in 2020 among recipients ($)",140,22760,-22620,0.00615114235500879
"110","3538","Lambton (CTY)","35","Ontario","v_CA16_1040","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",2550,200640,-198090,0.0127093301435407
"111","3538","Lambton (CTY)","35","Ontario","v_CA16_1010","LIM low-income status in 2020 for the population in private households",0.00023689197725837,0.00310332238043081,-0.00286643040317244,0.0763349559659619
"112","3538","Lambton (CTY)","35","Ontario","v_CA16_1100","Adjusted after-tax family income decile group for the population in private households",20,5490,-5470,0.00364298724954463
"113","3538","Lambton (CTY)","35","Ontario","v_CA16_4404","Total - Immigrant status and period of immigration for the population in private households",0.00758054327226785,0.0307911891967054,-0.0232106459244375,0.246191961727771
"114","3538","Lambton (CTY)","35","Ontario","v_CA16_4437","Total - Age at immigration for the immigrant population in private households",0,1.33844022637486e-05,-1.33844022637486e-05,0
"115","3538","Lambton (CTY)","35","Ontario","v_CA16_6582","4 Occupations in education, law and social, community and government services",0,3.34610056593714e-06,-3.34610056593714e-06,0
"116","3538","Lambton (CTY)","35","Ontario","v_CA16_5847","Bachelor's degree or higher",0.0127526847757423,0.024420213719161,-0.0116675289434188,0.522218393434289
"117","3547","Renfrew (CTY)","35","Ontario","v_CA16_1142","Gini index on adjusted household after-tax income",80,231040,-230960,0.000346260387811634
"118","3547","Renfrew (CTY)","35","Ontario","v_CA16_4410","Immigrants",0,7.17552676917632e-05,-7.17552676917632e-05,0
"119","3547","Renfrew (CTY)","35","Ontario","v_CA16_4875","Total visible minority population",0.161336002734509,0.153155856159316,0.00818014657519248,1.05341060263921
"120","3547","Renfrew (CTY)","35","Ontario","v_CA16_4878","South Asian",0.0101567459348601,0.0101003904527572,5.63554821029506e-05,1.00557953500575
"121","3547","Renfrew (CTY)","35","Ontario","v_CA16_4881","Chinese",0.0760779334928463,0.0828260273086421,-0.00674809381579575,0.918526892631833
"122","3547","Renfrew (CTY)","35","Ontario","v_CA16_4884","Black",0.0425802041115289,0.0307997403425961,0.0117804637689328,1.38248581442229
"123","3547","Renfrew (CTY)","35","Ontario","v_CA16_4887","Filipino",0.325406513989941,0.274706305317549,0.0507002086723923,1.18456150328907
"124","3547","Renfrew (CTY)","35","Ontario","v_CA16_4890","Arab",0.308120513696958,0.264526723818064,0.0435937898788935,1.16479919022804
"125","3547","Renfrew (CTY)","35","Ontario","v_CA16_4893","Latin American",0.00947311880462913,9.65907696700522e-05,0.00937652803495908,98.0747833047474
"126","3547","Renfrew (CTY)","35","Ontario","v_CA16_4896","Southeast Asian",2.5974315152107,0.0376554542554592,2.55977606095524,68.9788920773446
"127","3547","Renfrew (CTY)","35","Ontario","v_CA16_4899","West Asian",0.000378924752185165,3.39815101918505e-06,0.00037552660116598,111.509097166623
"128","3547","Renfrew (CTY)","35","Ontario","v_CA16_1189","Non-official languages",0,2.19355481544768e-05,-2.19355481544768e-05,0
"129","3547","Renfrew (CTY)","35","Ontario","v_CA16_1192","Indigenous languages",0,1.37561912155194e-05,-1.37561912155194e-05,0
"130","3547","Renfrew (CTY)","35","Ontario","v_CA16_6087","28. Military science, leadership and operational art",0,0,0,NA
"131","3547","Renfrew (CTY)","35","Ontario","v_CA16_4272","Total - Occupied private dwellings by dwelling condition",0,0.000171022917814565,-0.000171022917814565,0
"132","3547","Renfrew (CTY)","35","Ontario","v_CA16_4288","Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio",0,4425,-4425,0
"133","3547","Renfrew (CTY)","35","Ontario","v_CA16_4311","Median value of dwellings ($)",0,1495,-1495,0
"134","3547","Renfrew (CTY)","35","Ontario","v_CA16_4305","Total - Owner households in non-farm, non-reserve private dwellings",0,1.44997691190609e-05,-1.44997691190609e-05,0
"135","3547","Renfrew (CTY)","35","Ontario","v_CA16_4313","Total - Tenant households in non-farm, non-reserve private dwellings",0,5.50247648620775e-05,-5.50247648620775e-05,0
"136","3547","Renfrew (CTY)","35","Ontario","v_CA16_4263","Total - Occupied private dwellings by period of construction",0.00209971189999512,0.00173179293734836,0.00036791896264676,1.21244974194785
"137","3547","Renfrew (CTY)","35","Ontario","v_CA16_560","Median total income in 2020 among recipients ($)",5030,490720,-485690,0.0102502445386371
"138","3547","Renfrew (CTY)","35","Ontario","v_CA16_566","Median after-tax income in 2020 among recipients ($)",20,22760,-22740,0.000878734622144112
"139","3547","Renfrew (CTY)","35","Ontario","v_CA16_1040","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",1540,200640,-199100,0.00767543859649123
"140","3547","Renfrew (CTY)","35","Ontario","v_CA16_1010","LIM low-income status in 2020 for the population in private households",9.7661018604424e-05,0.00310332238043081,-0.00300566136182639,0.0314698270538256
"141","3547","Renfrew (CTY)","35","Ontario","v_CA16_1100","Adjusted after-tax family income decile group for the population in private households",5,5490,-5485,0.000910746812386157
"142","3547","Renfrew (CTY)","35","Ontario","v_CA16_4404","Total - Immigrant status and period of immigration for the population in private households",0.00429708481859466,0.0307911891967054,-0.0264941043781107,0.139555662860025
"143","3547","Renfrew (CTY)","35","Ontario","v_CA16_4437","Total - Age at immigration for the immigrant population in private households",0,1.33844022637486e-05,-1.33844022637486e-05,0
"144","3547","Renfrew (CTY)","35","Ontario","v_CA16_6582","4 Occupations in education, law and social, community and government services",0,3.34610056593714e-06,-3.34610056593714e-06,0
"145","3547","Renfrew (CTY)","35","Ontario","v_CA16_5847","Bachelor's degree or higher",0.0112310171395088,0.024420213719161,-0.0131891965796523,0.459906586759168
